data;petr4;bbdc3;vale5;ambv4;itub4
2004-09-23;0,028371199;-8,47458E-05;-0,000585938;0,0096;-0,016057935
2004-09-24;0,012750055;-0,002034071;0,010357631;0,008716323;0,0032
2004-09-27;0,00879097;-0,004670913;-0,023210832;-0,002199529;0,011164274
2004-09-28;0,00957504;0;0,065544554;0,021886317;0
2004-09-29;-0,001918159;0,006911263;0,033265192;-0,01540832;-0,003154574
2004-09-30;0,001921845;0,00838912;-0,014388489;0,012519562;0,004746835
2004-10-01;0,034786438;0,044537815;0,023722628;0,00618238;0,03992689
2004-10-04;0,005319149;0,021272593;0,01942959;-0,007680492;-0,001515152
2004-10-05;0,02010582;0;0,01766043;0,00619195;-0,001517451
2004-10-06;0,001659751;0,003943218;-0,024054983;0;0,015136778
2004-10-07;0,006110191;0,005498822;-0,007394366;0,015230769;-0,014911073
2004-10-08;-0,003602676;0,01953125;-0,024476765;0,017578421;0,018054711
2004-10-11;-0,011880165;0;-0,003818182;0,011913626;0,006150355
2004-10-12;;;;;
2004-10-13;;;;;
2004-10-14;-0,007072905;0;-0,001570783;0,001462312;-0,024024024
2004-10-15;0,01939726;0,023664122;0,058013766;0,01179941;0,009107692
2004-10-18;0,020210707;0,006711409;-0,011152416;-0,001457726;-0,005976339
2004-10-19;-0,025289779;0;-0,033834587;-0,015605839;0,006134969
2004-10-20;0,004216216;-0,003703704;-0,011478599;0,006213759;0,006097561
2004-10-21;0,015286898;0,055762082;0,041133635;-0,00073692;0,041242424
2004-10-22;0,005195631;0,007042254;-0,009829868;0;-0,001775268
2004-10-25;0,001160338;-0,007762238;-0,005345552;0,004424779;-0,011632653
2004-10-26;-0,013275735;-0,002748608;0,026871401;0,000895742;0,001150409
2004-10-27;0,006833956;-0,007067138;0;0,00793709;0,010606953
2004-10-28;-0,013787252;0,028327402;-0,035327103;0,015982067;0,009883382
2004-10-29;0,004946768;-0,015088594;0,007556675;0,022249284;-0,001125899
2004-11-01;0,004601391;-0,002881237;0;-0,000742786;-0,005291617
2004-11-02;;;;;
2004-11-03;;;;;
2004-11-04;0,005872931;0,021201662;0,000954198;-0,016174402;0,005847953
2004-11-05;0,016985138;0,00013795;0,024022879;-0,006433167;-0,010174419
2004-11-08;-0,012526096;-0,034482759;-0,011171104;-0,021582734;-0,022026432
2004-11-09;-0,007928118;-0,007142857;0,032197326;0,0075;0,018018018
2004-11-10;0,014384656;0,014388489;0,00985042;0,002773318;0,026548673
2004-11-11;0,003676471;-0,014184397;-0,011921965;-0,013100437;-0,006896552
2004-11-12;0,002616431;0,021366906;0,031992687;0,004424779;0,004050926
2004-11-15;;;;;
2004-11-16;;;;;
2004-11-17;0,008105148;-0,000714286;0,040183486;0,017024099;0,005865103
2004-11-18;-0,012385919;-0,010007148;-0,015875816;-0,014492754;-0,014868805
2004-11-19;-0,00440044;-0,005126354;0,010933859;-0,002941176;0,003255401
2004-11-22;0,013149171;-0,003556136;-0,014184397;0,010324484;-0,002949852
2004-11-23;-0,01734104;0,026875455;-0,012589928;-0,005693431;-0,019881657
2004-11-24;-0,00554939;7,0927E-05;0,007832423;0,011598884;0,015787249
2004-11-25;0,053571429;0,014042553;0,011024761;0,004354136;-0,001218389
2004-11-26;-0,006144068;0,045321024;0,001072578;0,021676301;0,020529604
2004-11-29;-0,016734172;-0,003144654;0,000178571;-0,006364922;0,014227405
2004-11-30;0,00704607;6,71186E-05;-0,00017854;0,000711744;0,017563528
2004-12-01;0,030139935;0,020067114;0,001785714;0,0056899;0,020292804
2004-12-02;-0,018808777;0,033923082;-0,020320856;0,005657709;0,030470914
2004-12-03;-0,00628328;0,004140127;-0,002911208;0,005625879;0,006693548
2004-12-06;0,009002251;0,033238186;-0,000182482;0,048951049;0,020027237
2004-12-07;-0,013276686;0,009777951;-0,012593539;-0,006666667;-0,016989974
2004-12-08;0,000430571;-0,005283351;0,011645102;0,000671141;0,001331558
2004-12-09;-0,027221864;0,005311413;0,017906084;-0,014084507;0,002659574
2004-12-10;0,016480478;0,024592742;0,024053132;0,010884354;0,034482759
2004-12-13;0,006528836;0,046531614;0,018404908;0,004037685;0,017948718
2004-12-14;0,008540541;-0,004056262;0,012048193;0,025335121;0,00488665
2004-12-15;0,005466824;-0,008928571;-0,005612245;-0,008223297;-0,004862887
2004-12-16;0,019189765;-0,001981982;0,025312126;0,003150499;0
2004-12-17;-0,009205021;-0,030149847;-0,00500417;-0,021024967;-0,013853904
2004-12-20;-0,001266892;-0,013402829;0,005364627;-0,013409396;-0,015325671
2004-12-21;0,022727273;0,005660377;0,033850258;0,014952178;0,011673152
2004-12-22;-0,01498708;0,001876173;-0,003225806;-0,016085791;0,021794872
2004-12-23;0,014165792;0,017790262;0,014724919;-0,001348774;0,018820577
2004-12-24;;;;;
2004-12-27;;;;;
2004-12-28;0,001446879;-0,009272727;0,0208;0,019151847;0,01
2004-12-29;0,010113519;0,036887502;0,005329154;0,002684564;-0,004950495
2004-12-30;-0,007458112;0,008849558;0,000155909;-0,009370817;-0,007462687
2004-12-31;;;;;
2005-01-03;;;;;
2005-01-04;-0,011889597;-0,034730745;-0,031948882;-0,015537276;-0,012279111
2005-01-05;-0,003867641;-0,037037037;-0,015016502;-0,00464191;-0,009925558
2005-01-06;0,003019845;-0,028846154;0,000167532;-0,000666223;-0,012531328
2005-01-07;0,004408602;0,021782178;0,040201005;-0,006666667;-0,001269035
2005-01-10;-0,012953645;-0,011821705;-0,009822866;-0,013422819;0,006327827
2005-01-11;0,010845987;-0,00568739;0,003577818;-0,012231293;-0,013358923
2005-01-12;-0,005364807;-0,023668639;0,003078917;0,002754783;-0,014589199
2005-01-13;0,009816613;0,004242424;0,045234249;-0,005508166;0,028571429
2005-01-14;0,005234483;-0,014081674;0,035548686;0,022099448;0,005075758
2005-01-17;-0,006376196;0,00795756;-0,007462687;0,001031534;-0,015100123
2005-01-18;-0,010695187;0,032591093;-0,004511278;-0,038781163;0
