data,cdi,variacao_cdi,preco_petro,variacao_petro
2008-01-02,11.09,-0.002697841726618648,52.154999,-0.00657144761904768
2008-01-03,11.09,0,51.400002,-0.0144760236693705
2008-01-04,11.04,-0.00450856627592432,48.349998,-0.0593385969128951
2008-01-07,11.08,0.003623188405797185,46.689999,-0.0343329693622738
2008-01-08,11.09,9.025270758122551e-4,49.5,0.0601842163243567
2008-01-09,11.1,9.01713255184832e-4,50.34,0.016969696969697
2008-01-10,11.11,9.009009009008817e-4,49.299999,-0.0206595351609059
2008-01-11,11.09,-0.001800180018001762,48.5,-0.016227160572559
2008-01-14,11.09,0,48.25,-0.00515463917525773
2008-01-15,11.08,-9.01713255184832e-4,45.900002,-0.048704621761658
2008-01-16,11.08,0,43.900002,-0.0435729828508504
2008-01-17,11.07,-9.025270758122551e-4,41.555,-0.0534168996165422
2008-01-18,11.07,0,42.200001,0.0155216219468175
2008-01-21,11.08,9.033423667569817e-4,39,-0.075829405786033
2008-01-22,11.08,0,43.130001,0.105897461538462
2008-01-23,11.08,0,42.299999,-0.0192441915315513
2008-01-24,11.09,9.025270758122551e-4,45.599998,0.0780141626008076
2008-01-28,11.09,0,48.560001,0.0649123493382609
2008-01-29,11.08,-9.01713255184832e-4,48.5,-0.00123560541112838
2008-01-30,11.09,9.025270758122551e-4,49.724998,0.0252576907216495
2008-01-31,11.1,9.01713255184832e-4,48.200001,-0.0306686186292054
2008-02-01,11.09,-9.009009009008817e-4,49.049999,0.0176348129121408
2008-02-06,11.1,9.01713255184832e-4,47.119999,-0.0393476052874129
2008-02-07,11.09,-9.009009009008817e-4,48.68,0.0331069828757849
2008-02-08,11.08,-9.01713255184832e-4,48.82,0.00287592440427281
2008-02-11,11.09,9.025270758122551e-4,49.759998,0.0192543629659976
2008-02-12,11.09,0,49.810001,0.00100488348090361
2008-02-13,11.08,-9.01713255184832e-4,50.799999,0.0198754864510041
2008-02-14,11.07,-9.025270758122551e-4,50.465,-0.00659446863374931
2008-02-15,11.06,-9.033423667569817e-4,49.939999,-0.0104032695927871
2008-02-18,11.07,9.041591320072139e-4,50.93,0.0198238089672369
2008-02-19,11.06,-9.033423667569817e-4,50.950001,3.92715491851573e-4
2008-02-20,11.06,0,51.525002,0.0112855934978294
2008-02-21,11.05,-9.041591320072139e-4,50.73,-0.0154294414195268
2008-02-22,11.06,9.049773755655915e-4,50.580002,-0.00295679085353827
2008-02-25,11.06,0,50.994999,0.00820476440471473
2008-02-26,11.07,9.041591320072139e-4,51.105,0.00215709387502874
2008-02-27,11.07,0,51.945,0.0164367478720282
2008-02-28,11.08,9.033423667569817e-4,52.025002,0.00154012898257773
2008-02-29,11.08,0,48.849998,-0.0610284262939577
2008-03-03,11.1,0.0018050541516245102,49.099998,0.00511770747667175
2008-03-04,11.09,-9.009009009008817e-4,47.150002,-0.0397147877684231
2008-03-05,11.08,-9.01713255184832e-4,48.5,0.0286319818183677
2008-03-06,11.08,0,47.689999,-0.0167010515463917
2008-03-07,11.09,9.025270758122551e-4,47.040001,-0.0136296501075625
2008-03-10,11.09,0,46.290001,-0.0159438772120774
2008-03-11,11.1,9.01713255184832e-4,48.099998,0.0391012521257021
2008-03-12,11.08,-0.0018018018018017634,47.950001,-0.00311844087810563
2008-03-13,11.08,0,47.259998,-0.014390051837538
2008-03-14,11.1,0.0018050541516245102,46.994999,-0.00560725796052727
